"QNr","Qname","Skname","Jahr","Anz_BP_SQ","Anz_Kinder_VA","Belegungsfaktor","Versorgungsquote"
101,"Höngg","Waidberg",2014,274,1211.1,1.72,0.3891338453
101,"Höngg","Waidberg",2016,388,1363.9,1.75,0.4978370848
42,"Langstrasse","Limmattal",2015,266.5,392.9,1.75,1.187006872
42,"Langstrasse","Limmattal",2016,276,361.5,1.75,1.3360995851
42,"Langstrasse","Limmattal",2014,294,379.6,1.72,1.3321390938
42,"Langstrasse","Limmattal",2017,301,348.7,1.77,1.5278749642
23,"Leimbach","Uto",2017,25,437.2,1.77,0.1012122598
23,"Leimbach","Uto",2015,25,446.2,1.75,0.0980502017
23,"Leimbach","Uto",2014,33.5,423.9,1.72,0.135928285
23,"Leimbach","Uto",2016,25,458.3,1.75,0.0954614881
13,"Lindenhof","Zürichberg",2015,".",22.9,1.75,0
13,"Lindenhof","Zürichberg",2017,0,29.5,1.77,0
13,"Lindenhof","Zürichberg",2016,0,27.7,1.75,0
13,"Lindenhof","Zürichberg",2014,0,21.7,1.72,0
82,"Mühlebach","Zürichberg",2015,316.5,275.8,1.75,2.008248731
82,"Mühlebach","Zürichberg",2016,367,293.9,1.75,2.1852670977
82,"Mühlebach","Zürichberg",2014,283.5,275.1,1.72,1.772519084
82,"Mühlebach","Zürichberg",2017,345,272.4,1.77,2.2417400881
63,"Oberstrass","Waidberg",2015,350.5,521.4,1.75,1.1764000767
63,"Oberstrass","Waidberg",2016,338.4,559.6,1.75,1.0582558971
63,"Oberstrass","Waidberg",2014,234,550.8,1.72,0.7307189542
63,"Oberstrass","Waidberg",2017,305.4,516.4,1.77,1.0467815647
115,"Oerlikon","Glattal",2017,669.5,1173.2,1.77,1.0100707467
115,"Oerlikon","Glattal",2015,481.5,1085.2,1.75,0.7764697752
115,"Oerlikon","Glattal",2016,585.5,1101.6,1.75,0.9301243646
115,"Oerlikon","Glattal",2014,560,1094.3,1.72,0.8801973865
11,"Rathaus","Zürichberg",2015,12.5,85.8,1.75,0.25495338
11,"Rathaus","Zürichberg",2017,47,75.7,1.77,1.0989431968
11,"Rathaus","Zürichberg",2014,12.5,93.9,1.72,0.2289669862
11,"Rathaus","Zürichberg",2016,12.5,75.6,1.75,0.2893518519
121,"Saatlen","Schwamendingen",2015,170,602.6,1.75,0.4936939927
121,"Saatlen","Schwamendingen",2017,174,624.4,1.77,0.4932415119
121,"Saatlen","Schwamendingen",2014,78.5,495.2,1.72,0.2726575121
121,"Saatlen","Schwamendingen",2016,138,587.8,1.75,0.410854032
122,"Schwamendingen-Mitte","Schwamendingen",2015,279.5,620.4,1.75,0.7884026435
122,"Schwamendingen-Mitte","Schwamendingen",2014,307.5,621,1.72,0.8516908213
122,"Schwamendingen-Mitte","Schwamendingen",2016,278.5,606.4,1.75,0.8037186675
122,"Schwamendingen-Mitte","Schwamendingen",2017,295.5,616,1.77,0.8490827922
119,"Seebach","Glattal",2015,550.5,1479.1,1.75,0.6513251301
119,"Seebach","Glattal",2017,590,1610.3,1.77,0.6485126995
119,"Seebach","Glattal",2014,567.5,1415.8,1.72,0.6894335358
119,"Seebach","Glattal",2016,572.5,1549.6,1.75,0.6465378162
81,"Seefeld","Zürichberg",2015,124.5,239.2,1.75,0.9108486622
81,"Seefeld","Zürichberg",2014,141.5,229.4,1.72,1.0609415867
81,"Seefeld","Zürichberg",2016,124.5,244,1.75,0.8929303279
81,"Seefeld","Zürichberg",2017,170.5,260.3,1.77,1.1593737995
34,"Sihlfeld","Limmattal",2015,233.5,1226.2,1.75,0.3332449845
34,"Sihlfeld","Limmattal",2014,221,1235.8,1.72,0.307590225
34,"Sihlfeld","Limmattal",2017,231,1201,1.77,0.3404412989
34,"Sihlfeld","Limmattal",2016,235,1192.3,1.75,0.3449215801
".","Total","Alle",2014,8603,22164.4,1.72,0.0066760932
".","Total","Alle",2016,9599,23081.8,1.75,0.7277703645
".","Total","Alle",2015,8859.1,22682.2,1.75,0.6835062296
61,"Unterstrass","Waidberg",2014,292.5,1248.7,1.72,0.402899015
61,"Unterstrass","Waidberg",2017,554.6,1262.9,1.77,0.7772919471
61,"Unterstrass","Waidberg",2016,496.1,1200.5,1.75,0.7231778426
61,"Unterstrass","Waidberg",2015,286.1,1237.8,1.75,0.4044878009
83,"Weinegg","Zürichberg",2014,229,228.7,1.72,1.7222562309
83,"Weinegg","Zürichberg",2016,257,214.3,1.75,2.0986934204
83,"Weinegg","Zürichberg",2017,279,223.8,1.77,2.2065683646
83,"Weinegg","Zürichberg",2015,257,207.6,1.75,2.1664258189
41,"Werd","Limmattal",2016,143.5,274.8,1.75,0.9138464338
41,"Werd","Limmattal",2015,142.5,265.7,1.75,0.9385585247
41,"Werd","Limmattal",2017,165,246.4,1.77,1.1852678571
41,"Werd","Limmattal",2014,148,270.8,1.72,0.9400295421
102,"Wipkingen","Waidberg",2017,439,939.8,1.77,0.8268035752
102,"Wipkingen","Waidberg",2016,394.5,869.8,1.75,0.7937169464
102,"Wipkingen","Waidberg",2015,379,802.1,1.75,0.8268919087
102,"Wipkingen","Waidberg",2014,378.5,778.3,1.72,0.8364640884
74,"Witikon","Zürichberg",2017,165.5,513.4,1.77,0.5705784963
74,"Witikon","Zürichberg",2016,165.5,515.3,1.75,0.5620512323
74,"Witikon","Zürichberg",2014,138.5,511.9,1.72,0.465364329
74,"Witikon","Zürichberg",2015,140,536.5,1.75,0.4566635601
21,"Wollishofen","Uto",2017,286.5,1154.9,1.77,0.4390899645
21,"Wollishofen","Uto",2016,274,953.3,1.75,0.502989615
21,"Wollishofen","Uto",2014,305,846.2,1.72,0.6199480028
21,"Wollishofen","Uto",2015,286,896.1,1.75,0.5585314139

